status,module,ship_version,platforms,repo,default_branch,own_license,deep_deps_pending,notes
own-license confirmed,obs-studio-node,0.26.29b3,"win64,osx",streamlabs/obs-studio-node,staging,GPL-2.0,yes,"Biggest: wraps OBS Studio (obsproject/obs-studio GPL-2.0) -> FFmpeg/x264/mbedTLS/libcurl/zlib/Qt/jansson"
own-license confirmed,node-libuiohook,1.1.17,"win64,osx",streamlabs/node-libuiohook,streamlabs,GPL-2.0,yes,"links libuiohook (kwhat/libuiohook GPL-3.0/LGPL-3.0)"
own-license confirmed,node-fontinfo,1.1.12,"win64,osx",streamlabs/node-fontinfo,streamlabs,GPL-3.0,yes,"check vendored libs"
own-license confirmed,font-manager,1.2.10,"win64,osx",streamlabs/font-manager,streamlabs,MIT (inherited from foliojs/font-manager; no LICENSE file in repo - confirm),yes,"fork of foliojs/font-manager"
own-license confirmed,crash-handler,1.2.28,"win64,osx",streamlabs/crash-handler,streamlabs,GPL-2.0,yes,"check for Crashpad/Breakpad + Sentry"
own-license confirmed,node-window-rendering,1.0.20,osx,streamlabs/node-window-rendering,streamlabs,GPL-2.0,yes,"macOS frameworks"
own-license confirmed,game_overlay,0.0.63,win64,streamlabs/streamlabs-overlay,,GPL-2.0,yes,"Windows graphics-hook; may derive from OBS win-capture; check MinHook/Detours"
own-license confirmed,color-picker,1.3.11,win64,streamlabs/color-picker,master,GPL-2.0,yes,"check vendored libs"
own-license confirmed,slobs-vcam-installer,1.0.16,osx,streamlabs/slobs-virtual-cam-installer,,none (installer) — installs streamlabs/slobs-virtual-cam (GPL-2.0),yes,"macOS CoreMediaIO DAL plugin; check for libobs/OBS-derived code"
done,sl-vue-tree,git-HEAD,all,streamlabs/sl-vue-tree,master,MIT,no,"JS installed from git"
done,slap,v0.1.83,all,streamlabs/slap,master,MIT,no,"JS installed from git"
